"district","moving_in","moving_out","birth","death","marriage_registration","divorce_registration"
"板橋區","1663","1420","148","358","190","85"
"三重區","1240","1118","106","252","135","59"
"中和區","1332","1351","112","288","130","63"
"永和區","840","785","46","153","53","35"
"新莊區","1257","1142","150","243","163","56"
"新店區","1219","877","61","212","124","54"
"土城區","848","641","69","139","62","38"
"蘆洲區","582","583","65","110","73","35"
"樹林區","524","566","63","126","76","24"
"鶯歌區","319","282","33","50","26","9"
"三峽區","319","287","39","78","35","24"
"淡水區","1075","522","60","126","55","24"
"汐止區","727","600","42","126","71","46"
"瑞芳區","54","122","7","49","11","6"
"五股區","440","375","29","71","28","26"
"泰山區","320","284","32","44","27","22"
"林口區","720","379","48","58","62","24"
"八里區","168","165","14","29","13","11"
"深坑區","77","79","4","15","10","5"
"石碇區","14","18","0","9","1","1"
"坪林區","14","9","2","6","0","0"
"三芝區","63","63","6","20","4","0"
"石門區","14","29","1","17","3","1"
"金山區","50","46","11","10","4","5"
"萬里區","45","55","3","17","4","2"
"平溪區","7","15","1","5","1","1"
"雙溪區","14","22","2","13","1","1"
"貢寮區","16","20","3","10","0","4"
"烏來區","23","26","2","2","0","1"
